,essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
720,723,1,"Dear @CAPS1 @CAPS2, I would like to notify your business that computers benefit society. Computers allow people to talk to friends and family, they are important resources for many jobs as well as school work, and they allow people to learn and store information. Computers are one of the biggest advances we have in technology. First and foremost, computers allow people to talk to friends and family. I like to go on the computer, mostly because I'm able to speak with my friends. Computers are a good way to talk to friends that you @MONTH1 not see often or just to talk at the appropriate time. I have a facebook and I always talk to my friends about events happining in school or school work. For instance, last month I sprained my ankle and I stayed home from school for one day. So I went on facebook at around @TIME1, when everyone was home from school and my friend told me what was for homework that night. So, now because of our computers I could catch up on the work that I missed that day of school. Also, if you have family that lives far away or someone in college you can send them an email to keep in touch. My cousin is in college right now and I always talk to him on the computer to see how he is doing. For example, we always talk about sports we are involved with during that time of year. As you can see, computers are a great way to keep in touch with family and talk to friends. Secondly, computers are a big part of many peoples lives because many jobs involve computers; as well as school. Computers are a very useful piece of technology because people use computers for paying bills, jobs and more. For example, my dad tests computer programs as a job. The programs are constructed, then corrected and revised, then finally sent out all over the world. If people weren't allowed to use computers then many people would lose their jobs and many families would be in huge debt. Also, children do a lot of school work on the computer. For example, I take spanish and I earn culture points for my class by answering a question on the computer. Studies show that over @PERCENT1 of children use computers for some sort of school work. Computers are a big part of the working society today. Finally, computers allow people to learn about different places around the world. The computer holds a lot of valuble information. There is facts and fasinating pictures about different countries. It also shows people around the world the culture, style, language and many more facts about places around the world. For instance, my uncle was on the computer one day and he was looking at places in @LOCATION1 and after a long hard thinking process him and his family moved there and they still live there to this day. Computers inspire people to learn and see different places and @MONTH1 lead them to something important one day. In conclusion, I feel very strongly about how positive computers are to society today. I know that you will feel the same way because computers have so much to offer.",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
190,191,1,"Dear The @CAPS1, I understand that you have some concerns about computers. I don't think you should be concerned though. You should not be concerned because computers are very posotive. They teach us hand-eye coordination, help teach you about faraway places and people, and finally you can talk online with familly and friends. First, computers teach you hand-eye coordination. There are thousands of fun games online that can help improve your reflexes and eyesight. This can help heal or improve some people reflexes by making their eyes more keen. Another thing amazing about computers is that you can learn about far away places and people. This is very helpful because if you want to travel somewhere far away but you can't, you just go to your computer and look it up. Then you feal like you are really there. It can also help you study about people that live far away and that you won't get to meat in person. Finally when you go on your computer you can go online and talk with your family and friends. There are all types of websites you can go on to talk and hang out with with all of your friends and family. The computer is very helpful because it keeps your family and friends together and happy. In conclusion I think computers are a great, fun, and helpful invention. Remember these good characteristics that computers have and please don't take computers away; we need them.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
1057,1060,1,"Dear local newspaper, @CAPS1 a place where they are all on computers all day long, everyday. I don’t think computers are a benefit to society because you get less time exercising, less time enjoying nature, and you spend less time with family and friends. Computers are not a benefit to society. To begin, computers are not a benefit to society because it gives you less and less time exercise. And wouldn’t you want to go exercise and lose weight. Other than just sitting around on your new computer and having your brain being wrecked out by it. @PERSON1 said that @PERCENT1 of people that get a new computer spend @NUM1 minutes more than what time they usually spend on it. Next, is that you could be outside enjoying nature. New @CAPS2 @CAPS3 Newspaper said that they are worried that it too many people got a good computer that no body would be outside enjoying what left of nature. Because sooner or later there wont be any trees left in the world and humans would became extinct for eternity. Lastly, is that you wont be spending any time with your family or friends. Like when I got x-box live, I couldn’t get off of it. I was addicted to it. And when my family got our new computer, my older sister couldn’t get off of it. She would spend all day and all night on it. Now, if parents take the computer away from kids they will have more time to exercises more time to enjoy nature, and more time with family and friends. Computers are not good toward society.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
1564,1569,1,The effect's computers have on people is not resinable for children and other people. Computers are not good for people these day's because people are spleeling all there time' on the computer and are'nt realling that it miss up there eye's and some people are adicted to it. Now people are useing the computer like they are nutting. So people think that the computers aren't hurtful to there eye's the time people are speeling on the computer they can be speeling time with there family and friend. People helpful is on the line with this computer thing. People shouldn't be useing computers like they are because all day on the computer can mess up your eyes and that's what people are not understand there day. I think that it should be a limeit for when people go on the computers.,3.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,
1128,1132,1,"Dear Newspaper, I disagree that computers are important to people because they have research, online colleges, and online stores. Those are my top @NUM1 reasons and I'm going to give more details. My first main idea is that computers help students find important information help students find important information on a project. You can do on the wikepedia to help find information about the battle of @LOCATION1 and other important history. one example is I went to american history.com to find good information about @CAPS1 alley @CAPS2 and what happened there. People also look up a lot of stuff that involves school. You can get research about the earth and what happens to it. My second main idea is that computers are good for people is when you finish high school, you can go to college. Some colleges can be found on the internet and you can go to college at home on your computer. One example is my cousin. She goes to college on the internet because she has to take care of her two children. Whenever you watch television you see a commercial about online colleges because they are trying to tell you to go to school online. My third and final reason why computers are good for you people is that some stores have an online store where you can look at what they have in the store. Children like to go shopping alot but they can't go to the mall or the stores because you don't want to go. You can let them see what they want and buy it online than going to the stores. It can be shipped to your door without going anywhere. My mom sometimes orders from @CAPS3.C @CAPS4 so she doesn't have to go there. It gets shipped to our house in less than a week. There was my @NUM1 main reasons why people should have a computer. They can find research, online schools, and online shopping stores. This can help people understand computers.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
606,609,1,"Dear Newspaper, I think Computers are a good effect in our lives. Some of the reasons why I say this is the good to use when researching has fun games and activities, and they keep you in touch with long distant reletives. First if you just been given a assignment for school or work you @MONTH1 have to type and research on what ever topic a computer is a great source of knowledge if researching something or even checking your bills, @CAPS1, Computers are fun they have lots of games and activities for you to play and do. Just think you sitting in the house on a rainy day bored out you mind and have no thing to do. Just go on your computer and play some game or just find some activities you whole family could do. Lastly, Computers are good to stay in contact with long distant family members these days all you have to do is get a web cam and hours it up to your computer and now its they our grandma, grandpa, cousin, and uncle, or who ever is right there you can talk to them like you were on the phone with no cost. In conclusion, as you can see after all I wrote computers, are good for researching, playing games or doing activities, and staying in touch with family I @CAPS2 in my house the computer is mostly used for the web cam to see my grandma in @LOCATION1. Well I hope this letter changed you oppinion on this great invention, the computer.",4.0,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,
196,197,1,"Dear newspaper, I know that computers can place a person in its spell, but in reality it's one of the most necesary things we need in our lifetime. Computers are used for many things like school work, planning that trip you always wanted to go to, and reading the latest news. Read the following to know just how important computers really are. You know now when you have that project due for science class about protoplasms. You want to do as you can so you have that at. When you realize that the one book you find on it wont help you with the score you want you realize that the nextplace to look is the computer. The computer gives you an unlimited amount of information that will help you in any report. When a teacher gives you a book to do a biography on, for example, ""The life and times: @PERSON1"" You want to go beyond what they give you and search, for instances, his neighborhood, his inspiration, and the influences he had. You will find all this in the computer. When you see a sale on a ""five nights and four days"" trip to @ORGANIZATION1, you want to know what better sale they have. When you start to notice that your family needs a vacation what is the only place to look. You can'@CAPS3 look for that trip of a lifetime in a book. Sure you can find out that @CAPS1 is having that big blowout sale, but you cant search up the best deal. I've done a research with seven of my friends and that six of those seven parents have deal on a trip to @ORGANIZATION1 on their accounts. If you're a great fan of road trips you'll find a deal or @CAPS2's for the lowest only find out by computer. If you live in @LOCATION3, @LOCATION4 and you want to have a trip to the @LOCATION1 this deal is really good. If you live in the @LOCATION2 and you know the hottest day in the @DATE1 is coming you will be ready to get those beach balls and that blanket ready, but if you think computers are a waste of time then you wont know that all the beaches open and will be sending free drinks all day. You will be at home eating a @CAPS3.V. watching old reruns of The @CAPS4 @CAPS5. Not only will it tell you news in your erea, but will tell you about that devastating earthquake in @LOCATION5. You'll also be informed about what people are doing to help them and what you can do to help. So not only is the computer good for going on @CAPS6 and @CAPS7, you can help get your grade to an A+ on that history report. It also works well for giving your children a memory they will always remember. They also help you to get ready and not be stock in your house on that nice day in @DATE1. Maybe if you find that great deal or help your kid get a better grade then you will realize how good the computer is.",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
1298,1303,1,"Dear Local Newspaper On the subject of computers; Their pros and cons, I would have to say that both sides provide veru important reasons why you should and shouldn't use computers, I think that computers are very important to many students just like me. First of all computers help me and my fellow classmates with many asisgnmenrs. Some of us simply don't have the time to go to a library and look for a book that might nit even posses the information needed. On the internet you can find the same amount of valuable information or more! It also helps to develop your hand-eye coordination some peopel say ""you can learn hand-eye coordiantion outside too? Although that is true, typing is very fats and neat. As you can see my hand wriitng is not the best but I type very fast and make little mistakes so I do not need the neatest hand writing ever.The way I see it computers are the fastert way of doing alot of things. So if you spend time writign neatly you might nit even be able to go outside and see nature. my dad is a environmentalist and he uses computers. Sometime the easy way isn;'t always the best way thats why we must have balance. Do not infrom people to stop using computers but to balance thier time with them. Everything is good if it's balanced. for example, coffiene, In large amounts it is rather unhealthy but when you need a small you turn to caffiene and it helpd, same with computers. Besides, computers are now made everwhere, trying to get rid of them is simply unreasonable. We are already in a recession we dont need more trouble. I prefer to talk with my friends eye to eye however if you cannot do that a computer is a perfect alternative. So you see comuters are evry helpful to some balance is the answer!",3.0,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,
873,876,1,"Dear local newspaper, I think your wrong!!. I totally disagree with this letter. People need computers to do research. Also helps us keep in contact with others. Another thing is @CAPS1 can get anything needed. First, @CAPS1 need computer. @CAPS1 need computer to help us with research. Instead of picking up a book you can go online. It's faster and easier. Also, You can look up information on any place or any project and it will help you. Thats the graet thing the @CAPS2 @CAPS3 @CAPS4 has any information. Next, The @CAPS2 @CAPS3 web is also used for keeping in contact. For example, instant messaging. Also you can chat on @CAPS5 or @CAPS6. You can even go in chat room. But just keep in mind know who you're talking to because it might be a stranger. Anyways you can use the internet @CAPS7 an easy way to talk to people or to ""keep in contact"". Lastly, @CAPS7 you know the internet is used for research and talking but also for getting anything you want. You can go online and get pictures, games, videos, music or even directions to a place. Also the internet is used to just have fun. I use it mostly for ypoutube, @CAPS5, and for googling pictures. You can look up basicly any thing on line and it will most likely be there for you. In conclusion, the web is used for researching. Also for chatting. Finally for basicly anything you want it for. That is why @CAPS1 should have internet because you can still go online but have fun outside to. But maybe people should cutback a little on @CAPS8.V. Now do you see why I chose this side? Maybe in the future there will be a way to go on the computer but be active to.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
541,544,1,"Dear @ORGANIZATION1, @CAPS1 opinion on the effects computers have on people, are that computers are used for the wrong reasons. Teens should be outside playing sports or hanging out with friends and family. But instead they are addicted to the world wide web and games and websites throughout it. Therefore, the computer and the concept of surfing the web is bad because it consumes childrens much and because educationally computers can give the wrong information. Until the late @DATE1's, @ORGANIZATION3 laptops and desktop @CAPS2 did not exist in @CAPS1 opinion, this would have been better. For example. children teens and even adults use the computer more than they should nowadays. At this age middle schoolers and high-schoolers should be focused on their grades and their . But instead, they get too addicted to @CAPS3, @CAPS4 and @CAPS5 that they forget about their school work and their priorities, and their grades start to slip. Even sudlts have this problem. For instance, buisness people, accountants and assistants will consistently be checking their emails. Also, people who work at a desk or in a cudical all day are almost always on the computer. In other words, I believe that jobs should cut dwn on how many workers they have on a computer, and family homes should cut down on the amount of time each member spends online. Another reason I think computers effect people in a bad way is because educationally computers can give false information. For example, people could insect their own perspective of an idea on websites such as wikipedia and @ORGANIZATION2. If a student was doing a project or just homework and decided to surf the web for some @ORGANIZATION2 or information they dont know if their information is correct. I believe this means that the internet and the web don't beat books or history. In conclusion, computers have a bad effect on people for the reasons of it consumes children and teen's minds, people use the internet too much and because educationally computers can sometimes give false information.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
554,557,1,"Dear, editor of the @ORGANIZATION1. I beleive that computers are good for the future. The world has made many chenges with there technology. I know not spending time exercising is bad but learning about new things cant be that bad. If humans didn't have technology some of us wouldn't have heat or fresh water. We use computers in life. Computers are good for people who use them to learn about the world. Some people who have friends far away can use a computer to talk to them. Or even people who can't talk use computers to talk for them. The @ORGANIZATION2 uses computers to save lives. Computers save lifes in so many ways its scary to think if they were all gone we could all start dying. We use computers in hospitals if there weren't any computers the chances of finding a cure for something would take to long and the person could die. Lets say someone has what looks like a normal fever and you just say thats what they have. Two days later they died because they had some disease and no one knew until it was to late. We use computers to purify water. We use computers to keep us warm during winter. We even use computers in libraries why the library. Some people who have medical illnesses and can't talk have these little computers that can have something typed in them and it would say it. Most people use some kind of computer to talk, chat, and text. They might find it easier with a computer. The worlds a big place and many people don't know much about it. But if you go online you could find out stuff that you @MONTH1 never knew exsited of just plainly didn't know about it. Kids even use computers for school and school work. So many people rely on technology to get through there life. Computers even help people in school for people like me who broke there arm and have to take some test on the computer. Like me. Now so many things in the military, airforce, and @ORGANIZATION3 are computerized. The miltary uses thermal sights on guns and tanks so they can identify people in even the most craziest weather. It could even locate a wounded soldier. There even working with computers to make better bullet prove vest so they will be more lives saved in war. The airforce uses computers to talk to people on the ground so they could protect them. They now have planes that can be flown by a man far away and this would save there lives even if it gets shot down. This also alows them to see people hiding and they could tell the people on the ground to stay down or whatever. The @ORGANIZATION3 uses radar to see if there is any boats or submarines coming near them and the have a heads up if there would be an attack. We use this to help with other advances in the future we could soon have a computer that could help out people in far places like were there is a higher poverty rate. Computers save lives, alows communication, and is a good way for research. Computers is what we use to live we need them to survive.",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
439,442,1,"Dear @LOCATION1, @CAPS1 one day being able to talk to anyone in the world by simple pushing a button. This has became posible with the computer. I support the advances on technology because computer can help hand eye coordination, it is easy to learn about faraway places or people, and the computer enables you to talk online. This is why it support the computer. First, the computer benifits society because it developes hand eye cordination. Did you know that nine out of ten people who use a computer have improved hand eye coordination. Bill @CAPS2, creator of @ORGANIZATION1, ""The keyboard is the most important part of the computer because it builds hand eye cordination."" This reminds me of when I got my first computer and had no hand eye cordination. @CAPS3 I can type with my eyes closed. I understand how you might think that computers cause people to not get enough exercise, however, the computer can improve your hand eye coordination. This is why I support the computers. Next I support the computer because you can learn about faraway places and people. Did you know that nineteen out of twenty students use a computer when the to learn a place or a person. @PERSON3 stated, ""The way students study is much different than it used to be, @CAPS3 students use computers."" This reminds me of when recently I had a report to do on @PERSON1 and all needed was my computer. I see how you @MONTH1 think that enjoying natures is imprtant, intelegence is even more important . This is why the computer supports our society. Finaly, I support the computer you can talk to the world instantly. Did you know that ninety-nine out of our hundred students talk online to in touuchscreen. @PERSON2, creator of @CAPS4, an instant messaging website, stated, ""@CAPS5 is no doubt that @CAPS4 is the easiest way to stay in touch with , This reminds me of when I went away on vacation and still stayed in touch with my friends through @CAPS4. I understand how exercise is essential to your body, however, talking with friends is important too. This is why I support the computer. In conclusion, I support the computer because it support hand eye coordination, you can learn about faraway places and people, and you can communicate with people around the world. @CAPS3 that you knew why I support the computer @CAPS5 should be no doubt that you will support it.",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
